Date,Open,High,Low,Close,Adj Close,Volume
2023-12-14,626.000000,627.750000,622.400024,623.650024,623.650024,15813797
2023-12-15,628.000000,650.000000,619.849976,648.250000,648.250000,29813572
2023-12-18,646.650024,655.650024,642.400024,648.500000,648.500000,16221796
2023-12-19,648.500000,659.599976,640.250000,655.400024,655.400024,19964008
2023-12-20,658.700012,660.400024,633.950012,636.450012,636.450012,22542056
2023-12-21,632.150024,648.950012,627.500000,643.750000,643.750000,19915516
2023-12-22,644.750000,649.400024,635.150024,636.750000,636.750000,14998068
2023-12-26,638.849976,641.299988,635.650024,638.049988,638.049988,10153089
2023-12-27,640.750000,649.450012,639.000000,648.549988,648.549988,14417646
2023-12-28,650.250000,653.299988,646.500000,651.400024,651.400024,16982092
2023-12-29,645.500000,649.599976,639.549988,642.049988,642.049988,13221898
2024-01-01,642.200012,646.900024,638.000000,641.349976,641.349976,8295548
2024-01-02,641.349976,648.000000,633.849976,639.450012,639.450012,15164482
2024-01-03,639.349976,648.000000,635.799988,643.450012,643.450012,14571772
2024-01-04,642.500000,646.400024,638.650024,642.750000,642.750000,13883388
2024-01-05,645.000000,651.750000,637.750000,641.950012,641.950012,15984585
2024-01-08,640.000000,645.000000,625.049988,627.000000,627.000000,14739531
2024-01-09,632.000000,634.349976,624.500000,625.400024,625.400024,13400235
2024-01-10,624.799988,625.299988,618.200012,621.750000,621.750000,12742464
2024-01-11,626.000000,627.150024,618.500000,620.200012,620.200012,15533860
2024-01-12,623.799988,636.500000,621.099976,633.599976,633.599976,16620797
2024-01-15,638.900024,645.500000,636.099976,640.099976,640.099976,16844018
2024-01-16,640.000000,644.900024,633.450012,636.900024,636.900024,15025543
2024-01-17,624.000000,636.799988,623.000000,626.000000,626.000000,30016308
2024-01-18,625.799988,633.450012,619.049988,628.299988,628.299988,14695436
2024-01-19,633.000000,635.500000,624.700012,627.750000,627.750000,11675202
2024-01-23,627.000000,634.900024,600.650024,605.099976,605.099976,30954343
2024-01-24,609.950012,622.349976,603.099976,618.299988,618.299988,19221835
2024-01-25,618.500000,623.799988,606.250000,612.750000,612.750000,22684904
2024-01-29,619.000000,629.500000,615.599976,622.950012,622.950012,19572140
2024-01-30,625.450012,633.500000,624.200012,626.750000,626.750000,16966577
2024-01-31,626.400024,643.200012,622.000000,640.500000,640.500000,23270745
2024-02-01,642.750000,652.950012,633.250000,647.650024,647.650024,26587707
2024-02-02,652.000000,660.549988,646.700012,649.650024,649.650024,27471811
2024-02-05,647.099976,654.799988,638.750000,642.950012,642.950012,28339525
2024-02-06,644.450012,655.000000,637.700012,650.250000,650.250000,14079390
2024-02-07,655.049988,677.950012,655.000000,675.250000,675.250000,41696232
2024-02-08,680.400024,718.900024,678.500000,699.549988,699.549988,74222434
2024-02-09,703.650024,728.349976,694.200012,725.250000,725.250000,43235061
2024-02-12,726.000000,726.000000,704.500000,707.900024,707.900024,22873137
2024-02-13,708.549988,718.000000,702.150024,713.450012,713.450012,23351472
2024-02-14,705.549988,748.500000,705.549988,743.400024,743.400024,36782182
2024-02-15,747.700012,764.000000,741.650024,761.700012,761.700012,33941282
2024-02-16,763.450012,774.599976,753.349976,754.700012,754.700012,27365121
2024-02-19,758.700012,765.000000,750.000000,759.250000,759.250000,13979584
2024-02-20,759.049988,763.500000,754.000000,760.099976,760.099976,12528399
2024-02-21,760.650024,777.500000,759.599976,771.500000,771.500000,21465311
2024-02-22,773.000000,773.000000,757.000000,765.900024,765.900024,18799244
2024-02-23,765.900024,770.500000,755.000000,759.049988,759.049988,14143636
2024-02-26,755.000000,766.349976,752.700012,758.900024,758.900024,11355186
2024-02-27,758.900024,762.349976,742.200012,749.849976,749.849976,13969393
2024-02-28,749.849976,756.750000,741.000000,742.500000,742.500000,11263318
2024-02-29,743.900024,753.900024,737.150024,748.099976,748.099976,19217113
2024-03-01,752.000000,772.000000,751.950012,769.150024,769.150024,17348526
2024-03-04,774.400024,777.000000,769.000000,772.049988,772.049988,9789141
2024-03-05,769.500000,786.950012,769.099976,783.950012,783.950012,18088847
2024-03-06,783.650024,790.299988,772.900024,783.900024,783.900024,26710525
2024-03-07,790.000000,793.400024,783.000000,788.049988,788.049988,15497868
2024-03-11,790.000000,792.799988,770.549988,773.700012,773.700012,16778340
2024-03-12,770.000000,777.750000,757.349976,759.700012,759.700012,21529705
2024-03-13,758.650024,763.700012,743.000000,747.250000,747.250000,27950252
